Run,Date,Start time,End/run time,Shifter,PDS expert,Active Endpoints,# triggers,type,Configuration,Issues/Comments,,,,,,,,,,,,,,,,,,,,,,
26204,13/05/2024,17:39,120 s,lperez,,"111,112,113",,,"Cosmic run. Testing Nacho trigger in ep112. APAs 3,4. 120 s runtime.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Selt trigger test with large LED scanninf and different CIEMAT's trigger configurations,,,,,,,,,,,,,,,,,,,,,,,
26209,14/05/2024,11:55,90s,lperez,,112.113,,,"Calib run. Testing Nacho trigger in ep112, ep113 with TI. APA4. 90 s runtime. Bias DCS: 7V. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 100. Configuration in 112 to 0x7001,[0x3E15]",Configuration triggering in noise,,,,,,,,,,,,,,,,,,,,,,
26210,14/05/2024,11:59,90s,lperez,,112.113,,,"Calib run. Testing Nacho trigger in ep112, ep113 with TI. APA4. 90 s runtime. Bias DCS: 8V. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 100. Configuration in 112 to 0x7001,[0x3E15]",,,,,,,,,,,,,,,,,,,,,,,
26211,14/05/2024,12:03,90s,lperez,,112.113,,,"Calib run. Testing Nacho trigger in ep112, ep113 with TI. APA4. 90 s runtime. Bias DCS: 9V. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 100. Configuration in 112 to 0x7001,[0x3E15]",,,,,,,,,,,,,,,,,,,,,,,
26212,14/05/2024,12:16,90s,lperez,,112.113,,,"Calib run. Testing Nacho trigger in ep112, ep113 with TI. APA4. 90 s runtime. Bias DCS: 10V. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 100. Configuration in 112 to 0x7001,[0x3E15]",,,,,,,,,,,,,,,,,,,,,,,
26214,14/05/2024,12:31,90s,lperez,,112.113,,,"Calib run. Testing Nacho trigger in ep112, ep113 with TI. APA4. 90 s runtime. Bias DCS: 12V. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 100. Configuration in 112 to 0x7001,[0x3E15]",,,,,,,,,,,,,,,,,,,,,,,
26215,14/05/2024,13:52,90s,lperez,,112.113,,,"Calib run. Testing Nacho trigger in ep112, ep113 with TI. APA4. 90 s runtime. Bias DCS: 11V. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 100. Configuration in 112 to 0x7001,[0x3E15]",Signals ~50ADC,,,,,,,,,,,,,,,,,,,,,,
26217,14/05/2024,14:55,90s,lperez,,112.113,,,"Calib run. Testing Nacho trigger in ep112, ep113 with TI. APA4. 90 s runtime. Bias DCS: 7V. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 100. Change in the threshold configuration to trigger in singles (0x7001,[0x3DD5])",Configuration triggering in signal!!,,,,,,,,,,,,,,,,,,,,,,
26219,14/05/2024,15:25,90s,lperez,,112.113,,,"Calib run. Testing Nacho trigger in ep112, ep113 with TI. APA4. 90 s runtime. Bias DCS: 7V. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 100. Change in the threshold configuration to trigger in singles (0x7001,[0x3D55])",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Self trigger test with fine LED scanning between 10-10.7 volts. with APA4,,,,,,,,,,,,,,,,,,,,,,,
26223,14/05/2024,18:13,90s,acervera,,112.113,,LED,"Calib run. Testing Nacho trigger in ep112, ep113 with TI. APA4. 90 s runtime. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 100. Change in the threshold configuration to trigger in singles (0x7001,[0x3ED5]). Bias DCS: 10.7V.",,,,,,,,,,,,,,,,,,,,,,,
26224,14/05/2024,18:36,90s,acervera,,112.113,,LED,"Calib run. Testing Nacho trigger in ep112, ep113 with TI. APA4. 90 s runtime. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 100. Change in the threshold configuration to trigger in singles (0x7001,[0x3ED5]). Bias DCS: 11V.",go to 11 because we thought there was nothing in 13,,,,,,,,,,,,,,,,,,,,,,
26225,14/05/2024,19:02,90s,acervera,,112.113,,LED,"Calib run. Testing Nacho trigger in ep112, ep113 with TI. APA4. 90 s runtime. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 100. Change in the threshold configuration to trigger in singles (0x7001,[0x3ED5]). Bias DCS: 10.6V.",,,,,,,,,,,,,,,,,,,,,,,
26226,14/05/2024,19:16,90s,acervera,,112.113,,LED,"Calib run. Testing Nacho trigger in ep112, ep113 with TI. APA4. 90 s runtime. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 100. Change in the threshold configuration to trigger in singles (0x7001,[0x3ED5]). Bias DCS: 10.5V.",,,,,,,,,,,,,,,,,,,,,,,
26227,14/05/2024,19:22,90s,acervera,,112.113,,LED,"Calib run. Testing Nacho trigger in ep112, ep113 with TI. APA4. 90 s runtime. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 100. Change in the threshold configuration to trigger in singles (0x7001,[0x3ED5]). Bias DCS: 10.4V.",,,,,,,,,,,,,,,,,,,,,,,
26228,14/05/2024,19:34,90s,lperez,,112.113,,LED,"Calib run. Testing Nacho trigger in ep112, ep113 with TI. APA4. 90 s runtime. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 100. Change in the threshold configuration to trigger in singles (0x7001,[0x3ED5]). Bias DCS: 10.3V.",,,,,,,,,,,,,,,,,,,,,,,
26229,14/05/2024,19:37,90s,lperez,,112.113,,LED,"Calib run. Testing Nacho trigger in ep112, ep113 with TI. APA4. 90 s runtime. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 100. Change in the threshold configuration to trigger in singles (0x7001,[0x3ED5]). Bias DCS: 10.2V.",,,,,,,,,,,,,,,,,,,,,,,
26230,14/05/2024,19:41,90s,lperez,,112.113,,LED,"Calib run. Testing Nacho trigger in ep112, ep113 with TI. APA4. 90 s runtime. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 100. Change in the threshold configuration to trigger in singles (0x7001,[0x3ED5]). Bias DCS: 10.1V.",,,,,,,,,,,,,,,,,,,,,,,
26231,14/05/2024,19:45,90s,lperez,,112.113,,LED,"Calib run. Testing Nacho trigger in ep112, ep113 with TI. APA4. 90 s runtime. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 100. Change in the threshold configuration to trigger in singles (0x7001,[0x3ED5]). Bias DCS: 10.0V.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Self trigger test with LED scanning 12,13,14  volts for lower modules in APA3 and APA4",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Calib run. Testing Nacho 112 - Daniel 111 trigger vs adhoc in 113 with TI. APAs 3 and 4. Tests 270nm:SSP_config. with onhly one fiber, fiber mask 1. Pulse_bias_percent_270nm: 100. Change in the threshold configuration to trigger in singles (0x7001,[0x3E55]) = (-4)",,,,,,,,,,,,,,,,,,,,,,,
26232,15/05/2024,14:09,300 s,marroyav,,"111, 112,113",,LED,LED bias DCS = 12 v,,,,,,,,,,,,,,,,,,,,,,,
26233,15/05/2024,14:16,300 s,marroyav,,"111, 112,113",,LED,LED bias DCS = 13 v,,,,,,,,,,,,,,,,,,,,,,,
26234,15/05/2024,14:29,300 s,marroyav,,"111, 112,113",,LED,LED bias DCS = 14 v,,,,,,,,,,,,,,,,,,,,,,,
26236,15/05/2024,14:36,300 s,marroyav,,"111, 112,113",,LED,LED bias DCS = 12.5 v,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Calib run. Testing Daniel 112 trigger vs adhoc in 113 with TI. APAs 3 and 4. Tests 270nm:SSP_config. with onhly one fiber, fiber mask 1. Pulse_bias_percent_270nm: 100. Change in the threshold configuration to trigger in singles (0x7001,[0x3E55]) = (-4)",The mapping was wrong,,,,,,,,,,,,,,,,,,,,,,
26237,15/05/2024,15:27,300 s,marroyav,,112.113,,LED,LED bias DCS = 12 v ,The mapping was wrong,,,,,,,,,,,,,,,,,,,,,,
23239,15/05/2024,15:47,300 s,marroyav,,112.113,,LED,LED bias DCS = 13 v ,The mapping was wrong,,,,,,,,,,,,,,,,,,,,,,
23240,15/05/2024,15:57,300 s,marroyav,,112.113,,LED,LED bias DCS = 14 v ,The mapping was wrong,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Calib run Reference with only 4 channels/endpoint all endpoints with the same gateware,,,,,,,,,,,,,,,,,,,,,,,
26244,15/05/2024,16:30,300 s,marroyav,,"111, 112,113",,LED,LED bias DCS = 12 v,,,,,,,,,,,,,,,,,,,,,,,
26246,15/05/2024,16:30,300 s,marroyav,,"111, 112,113",,LED,LED bias DCS = 13 v,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Calib run. Testing Daniel 112 trigger vs adhoc in 113 with TI. APAs 3 and 4. Tests 270nm:SSP_config. with onhly one fiber, fiber mask 1. Pulse_bias_percent_270nm: 100. Change in the threshold configuration to trigger in singles (0x7001,[0x3E55]) = (-4)",,,,,,,,,,,,,,,,,,,,,,,
26248,15/05/2024,17:40,300 s,marroyav,,"111, 112,113",,LED,LED bias DCS = 14 v ,,,,,,,,,,,,,,,,,,,,,,,
26249,15/05/2024,17:47,300 s,marroyav,,"111, 112,113",,LED,LED bias DCS = 13 v ,,,,,,,,,,,,,,,,,,,,,,,
26250,15/05/2024,16:30,300 s,marroyav,,"111, 112,113",,LED,LED bias DCS = 12 v ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Purity (tau slow) combo,,,,,,,,,,,,,,,,,,,,,,,
26251,15/05/2024,18:20,600 s,lperez,,"111,112,113",~8500 wfs,LED,"Calibration Run with APAs 3,4. 100Hz daq rate. LED -> DCS Bias =DCS: 12V. 600s runtime. Main (#969b603) firmware in all endpoints ",BAD RUN: NO bias in 112,,,,,,,,,,,,,,,,,,,,,,
26252,15/05/2024,18:32,600 s,lperez,,"111,112,113",,LED,"Calibration Run with APAs 3,4. 100Hz daq rate. LED -> DCS Bias =DCS: 10.5V. 600s runtime. Main (#969b603) firmware in all endpoints ",BAD RUN: NO bias in 112,,,,,,,,,,,,,,,,,,,,,,
26253,15/05/2024,18:32,600 s,lperez,,"111,112,113",,LEDG,"Calibration Run with APAs 3,4. 100Hz daq rate. LED -> DCS Bias =DCS: 12V. 600s runtime. Main (#969b603) firmware in all endpoints ",,,,,,,,,,,,,,,,,,,,,,,
26254,15/05/2024,18:50,600 s,lperez,,"111,112,113",,COSMIC,"Cosmics with APAs 3,4.  100Hz daq rate. Threshold config_datamodes 600. Main (#969b603) firmware in all endpoints ",,,,,,,,,,,,,,,,,,,,,,,
26255,15/05/2024,,600 s,lperez,,"111,112,113",,NOISE,"Random trigger run with APAs 3,4 (Noise characterization). 100Hz daq rate. LED -> DCS OFF; Threshold config_datamodes 9000",BAD RUN: not all channels configured,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Purity (tau slow) combo,,,,,,,,,,,,,,,,,,,,,,,
26261,16/05/2024,10:05,600 s,lperez,,"111,112,113",,LEDG,"Calibration Run with APAs 3,4. 100Hz daq rate. LED -> DCS Bias =DCS: 12V. 600s runtime. Main (#969b603) firmware in all endpoints ",Threshold config_datamodes 9000,,,,,,,,,,,,,,,,,,,,,,
26262,16/05/2024,10:23,600 s,lperez,,"111,112,113",,LED,"Calibration Run with APAs 3,4. 100Hz daq rate. LED -> DCS Bias =DCS: 10.5V. 600s runtime. Main (#969b603) firmware in all endpoints ",,,,,,,,,,,,,,,,,,,,,,,
26263,16/05/2024,10:30,600 s,lperez,,"111,112,113",,NOISE,"Random trigger run with APAs 3,4 (Noise characterization). 100Hz daq rate. LED -> DCS OFF; ",Bias V not adapted,,,,,,,,,,,,,,,,,,,,,,
26265,16/05/2024,10:45,600 s,lperez,,"111,112,113",,COSMIC,"Cosmics with APAs 3,4.  100Hz daq rate. Main (#969b603) firmware in all endpoints ",Threshold config_datamodes 600,,,,,,,,,,,,,,,,,,,,,,
26269,16/05/2024,14:15,600 s,lperez,,"111,112,113",,NOISE,"Random trigger run with APAs 3,4 (Noise characterization). 100Hz daq rate. LED -> DCS OFF; ",Bias V noise adapted [SOMETHING WRONG WITH TIMESTAMP],,,,,,,,,,,,,,,,,,,,,,
26270,16/05/2024,15:00,600 s,lperez,,"111,112,113",,NOISE,"Random trigger run with APAs 3,4 (Noise characterization). 100Hz daq rate. LED -> DCS OFF; ",Bias V noise adapted [SOMETHING WRONG WITH TIMESTAMP],,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,367 LED Comissioning ,,,,,,,,,,,,,,,,,,,,,,,
26271,16/05/2024,15:20,90 s,lperez,,109,,LED,Calibration run with APA2. 100Hz daq rate. 90s runtime. LED -> DCS Bias:3.4V. Main (#969b603) firmware,Weird run,,,,,,,,,,,,,,,,,,,,,,
26272,16/05/2024,15:44,60 s,lperez,,109,,LED,Calibration run with APA2. 100Hz daq rate. 60s runtime. LED -> DCS Bias:3.4V. Main (#969b603) firmware,,,,,,,,,,,,,,,,,,,,,,,
26273,16/05/2024,16:03,90 s,lperez,,109,,NOISE,Noise run with APA2. 100Hz daq rate. 90s runtime.,,,,,,,,,,,,,,,,,,,,,,,
26274,16/05/2024,16:10,90 s,lperez,,109,,LED,Calibration run with APA2. 100Hz daq rate. 90s runtime. LED -> DCS Bias:4V. Main (#969b603) firmware,,,,,,,,,,,,,,,,,,,,,,,
26275,16/05/2024,16:15,90 s,lperez,,109,,LED,Calibration run with APA2. 100Hz daq rate. 90s runtime. LED -> DCS Bias:3.5V. Main (#969b603) firmware,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Improvement CIEMAT Self-Trigger (Avoid High Freq noise),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Calib run. Testing Nacho 112  vs adhoc in 113 with TI. APAs 3 and 4. Tests 270nm:SSP_config. with only one fiber, fiber mask 1. Pulse_bias_percent_270nm: 100. Change in the threshold configuration to trigger in singles (0x7001,[0x3E55]) = (-4)",,,,,,,,,,,,,,,,,,,,,,,
26281,17/05/2024,10:49,300 s,lperez,,112.113,,LED,LED bias DCS = 12 v,21.1% efficiency,,,,,,,,,,,,,,,,,,,,,,
26282,17/05/2024,10:57,300 s,lperez,,112.113,,LED,LED bias DCS = 13 v,,,,,,,,,,,,,,,,,,,,,,,
26283,17/05/2024,11:11,300 s,lperez,,112.113,,LED,LED bias DCS = 14 v,49.4% efficiency,,,,,,,,,,,,,,,,,,,,,,
26284,17/05/2024,11:24,300 s,lperez,,112.113,,LED,"LED bias DCS = 14 v, (0x7001,[0x3E75]) = (-4) --> Test of self-trigger when a waveform is between 2 frames",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26285,17/05/2024,12:08,300 s,lperez,,112.113,,LED,"LED bias DCS = 14 v (0x7001,[0x3ED5]) = (-3) ",,,,,,,,,,,,,,,,,,,,,,,
26286,17/05/2024,12:15,300 s,lperez,,112.113,,LED,"LED bias DCS = 13 v (0x7001,[0x3ED5]) = (-3) ",,,,,,,,,,,,,,,,,,,,,,,
26287,17/05/2024,12:22,300 s,lperez,,112.113,,LED,"LED bias DCS = 12 v (0x7001,[0x3ED5]) = (-3) ",,,,,,,,,,,,,,,,,,,,,,,
26288,17/05/2024,12:30,300 s,lperez,,112.113,,NOISE,"LED -> DCS OFF;  (0x7001,[0x3ED5]) = (-3) ",1.88 % efficiency,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,270 LED bias scanning test (smaller range),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Calib run. APA2. 90 s runtime. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 100. Ch_mask: 8. Bias DCS: 10.5V. Main (#969b603) firmware. CHANGED FIBERS 1aL to ch6 and 2R to ch3.,,,,,,,,,,,,,,,,,,,,,,,
26293,17/05/2024,18:12,90 s,lperez,,109,,LED,Bias DCS: 10.5V,,,,,,,,,,,,,,,,,,,,,,,
26294,17/05/2024,18:16,90 s,lperez,,109,,LED,Bias DCS: 11.0V,,,,,,,,,,,,,,,,,,,,,,,
26295,17/05/2024,18:20,90 s,lperez,,109,,LED,Bias DCS: 10.0V,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Study of duplicated waveforms,,,,,,,,,,,,,,,,,,,,,,,
26297,17/05/2024,18:55,300 s,lperez,,"111,112,113",,,DAQ Special Run To Detect Origin of Duplicated Wavefroms. APAs34. 300 s runtime. Main (#969b603) firmware in all endpoints. Just: nanorc global_config/np04_DAPHNE.json + boot + start_run + stop_run,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,270 LED bias scanning test,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Calib run. APA2. 90 s runtime. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 100. Ch_mask: 8.,,,,,,,,,,,,,,,,,,,,,,,
26301,20/05/2024,11:52,90 s,lperez,,109,,LED,Bias DCS: 12V,,,,,,,,,,,,,,,,,,,,,,,
26302,20/05/2024,11:56,90 s,lperez,,109,,LED,Bias DCS: 13V,,,,,,,,,,,,,,,,,,,,,,,
26303,20/05/2024,12:00,90 s,lperez,,109,,LED,Bias DCS: 14V,,,,,,,,,,,,,,,,,,,,,,,
26304,20/05/2024,12:25,90 s,lperez,,109,,LED,Bias DCS: 20V,,,,,,,,,,,,,,,,,,,,,,,
26307,20/05/2024,15:00,90 s,lperez,,109,,LED,Bias DCS: 30V,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Purity (tau slow) combo,,,,,,,,,,,,,,,,,,,,,,,
26306,20/05/2024,14:30,600 s,lperez,,112.113,,NOISE,Calibration Run with APA 4. 100Hz daq rate. LED -> DCS Bias =DCS: 12V. 600s runtime. SSP_270 -> ch_mask: 64,Timing alignment not working in 111. Channel mask seems not turning light one ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Purity (tau slow) combo,,,,,,,,,,,,,,,,,,,,,,,
26315,21/05/2024,12:18,600 s,lperez,,"111,112,113",,LEDG,"Calibration Run with APAs 3,4. 100Hz daq rate. LED -> DCS Bias =DCS: 12V. 600s runtime. Main (#969b603) firmware in all endpoints. SSP_270->Ch_mask:1 ",,,,,,,,,,,,,,,,,,,,,,,
26317,21/05/2024,13:50,600 s,lperez,,"111,112,113",,LED,LED -> DCS Bias =DCS: 10.5V,,,,,,,,,,,,,,,,,,,,,,,
26319,21/05/2024,14:07,600 s,lperez,,"111,112,113",,NOISE,LED -> DCS Bias =DCS:OFF. Adapt bias voltaje to run noise tests,,,,,,,,,,,,,,,,,,,,,,,
26320,21/05/2024,14:22,600 s,lperez,,"111,112,113",,COSMIC,"Cosmics with APAs 3,4.  100Hz daq rate. Bias V back to OP. config_datamodes: thrs=600 (no self-trigger special conditions)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,270 LED bias scanning test in APAs2,,,,,,,,,,,,,,,,,,,,,,,
26324,21/05/2024,15:10,90 s,lperez,,109,,LED,Calib run. APA2. 90 s runtime. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 100. Ch_mask: 8. pulse1_width_ticks: 10. Bias DCS: 30V,Center fiber,,,,,,,,,,,,,,,,,,,,,,
26327,21/05/2024,15:40,90 s,lperez,,109,,LED,pulse1_width_ticks: 5,,,,,,,,,,,,,,,,,,,,,,,
26329,21/05/2024,16:13,90 s,lperez,,109,,LED,pulse1_width_ticks: 7,,,,,,,,,,,,,,,,,,,,,,,
26332,21/05/2024,16:32,90 s,lperez,,109,,LED,pulse1_width_ticks: 8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26325,21/05/2024,15:20,90 s,lperez,,109,,LED,Calib run. APA2. 90 s runtime. Tests 367nm:SSP_config. Pulse_bias_percent_367nm: 100. Ch_mask: 1536. pulse1_width_ticks: 10. Bias DCS: 10V,Top leds,,,,,,,,,,,,,,,,,,,,,,
26334,21/05/2024,16:48,90 s,lperez,,109,,LED,pulse1_width_ticks: 1,Top leds,,,,,,,,,,,,,,,,,,,,,,
26336,21/05/2024,16:55,90 s,lperez,,109,,LED,Ch_mask: 1536. pulse1_width_ticks: 1.Bias DCS: 3.4V,Top leds (APA2),,,,,,,,,,,,,,,,,,,,,,
26340,21/05/2024,17:18,90 s,lperez,,109,,LED,Ch_mask: 384. pulse1_width_ticks: 1. Bias 3.4V,Bottom leds (APA2),,,,,,,,,,,,,,,,,,,,,,
26344,21/05/2024,17:41,90 s,lperez,,"111,112,113",,LED,Ch_mask: 64,Led now in APAs34. NOT CORRECT THRESHOLD. TRIGGERING IN COSMICS,,,,,,,,,,,,,,,,,,,,,,
26344,21/05/2024,18:04,90 s,lperez,,"111,112,113",,LED,pulse1_width_ticks: 3,,,,,,,,,,,,,,,,,,,,,,,
26346,21/05/2024,18:04,90 s,lperez,,"111,112,113",,LED,Ch_mask: 64 pulse1_width_ticks: 3,conf_datamodes to 9000,,,,,,,,,,,,,,,,,,,,,,
26348,21/05/2024,18:25,90 s,lperez,,"111,112,113",,LED,Ch_mask: 64 pulse1_width_ticks: 1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Purity (tau slow) combo,,,,,,,,,,,,,,,,,,,,,,,
26358,22/05/2024,14:40,600 s,rdeaguia,,"111,112,113",,LED,LED -> DCS Bias = 10.5V,,,,,,,,,,,,,,,,,,,,,,,
26360,22/05/2024,15:00,600 s,rdeaguia,,"111,112,113",,LEDG,LED -> DCS Bias = 12V,,,,,,,,,,,,,,,,,,,,,,,
26363,22/05/2024,15:29,600 s,rdeaguia,,"111,112,113",,NOISE,NOISE RUN,,,,,,,,,,,,,,,,,,,,,,,
26365,22/05/2024,15:46,600 s,rdeaguia,,"111,112,113",,COSMIC,COSMIC RUN,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Bias tests,,,,,,,,,,,,,,,,,,,,,,,
26373,23/05/2024,8:53,90 s,acervera,,"111,112,113",,BIAS,"test run with ep 11,12,13 with trim in Ch 11 of ep 112 and larger bias in AFE1 to equalize all channels. No LED","Still problems with Ch 11, which has lower rate. It seems the IV curve is wrong",link to presentation,,,,,,,,,Purity (tau slow) combo,,,,,,,,,,,,
26392,23/05/2024,17:50,90 s,lperez,,"104,105,107",,TEST,APA1 noise run to test the full-streaming extractor. everything off.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Purity (tau slow) combo,,,,,,,,,,,,,,,,,,,,,,,
26376,23/05/2024,12:41,600 s,jurenago,,"111,112,113",,LEDG,"Calibration Run with APAs 3,4. 100Hz daq rate. LED -> DCS Bias: 12V. 600s runtime. Main (#969b603) firmware in all endpoints ",,,,,,,,,,,,,,,,,,,,,,,
26377,23/05/2024,12:55,600 s,jurenago,,"111,112,113",,LED,LED -> DCS Bias: 10.5V,,,,,,,,,,,,,,,,,,,,,,,
26378,23/05/2024,13:08,600 s,jurenago,,"111,112,113",,NOISE,LED -> DCS OFF; ,,,,,,,,,,,,,,,,,,,,,,,
26381,23/05/2024,13:24,600 s,jurenago,,"111,112,113",,COSMIC,"Cosmics with APAs 3,4.  100Hz daq rate. Main (#969b603) firmware in all endpoints ",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Purity (tau slow) combo,,,,,,,,,,,,,,,,,,,,,,,
26431,27/05/2024,11:53,180 s,jboza,,"111,112,113",,LED,"Calibration Run with APAs 3,4. DAQ trigger rate 1Hz. LED -> DCS Bias: 10.5V. 180s runtime. Main (#969b603) firmware in all endpoints ",Test duplications: 20940 wvfs without duplications (1Hz),,,,,,,,,,,,,,,,,,,,,,
26435,27/05/2024,13:43,600 s,jboza,,"111,112,113",,LED,DAQ trigger rate 10Hz. LED -> DCS Bias: 12V,(1/2 analysed) 38 duplicated out of 35361,,,,,,,,,,,,,,,,,,,,,,
26438,27/05/2024,14:03,600 s ,jboza,,"111,112,113",,NOISE,LED -> DCS OFF; ,,,,,,,,,,,,,,,,,,,,,,,
26440,27/05/2024,14:23,600 s ,jboza,,"111,112,113",,COSMIC,"Cosmics with APAs 3,4.  10Hz daq rate. Main (#969b603) firmware in all endpoints ",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26442,27/05/2024,,,lperez,,"111,112,113",,LED,Calib run. APA34. 90 s runtime. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 100. Ch_mask: 13. pulse1_width_ticks: 1. Bias DCS: 11V. DAQ trigger rate 20Hz.,BAD threshold,,,,,,,,,,,,,,,,,,,,,,
26444,27/05/2024,,,lperez,,"111,112,113",,LED,Bias DCS: 10.5V. Ch_mask: 13. pulse1_width_ticks: 1.,,,,,,,,,,,,,,,,,,,,,,,
26445,27/05/2024,,,lperez,,"111,112,113",,LED,Bias DCS: 8V. Ch_mask: 13. pulse1_width_ticks: 5,,,,,,,,,,,,,,,,,,,,,,,
26446,27/05/2024,,,lperez,,"111,112,113",,LED,Bias DCS: 10V. Ch_mask: 13. pulse1_width_ticks: 5,,,,,,,,,,,,,,,,,,,,,,,
26447,27/05/2024,,,lperez,,"111,112,113",,LED,Bias DCS: 12V. Ch_mask: 13. pulse1_width_ticks: 5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,TESTS WITH 3 DIAGONAL LEDS,,,,,,,,,,,,,,,,,,,,,,
26450,27/05/2024,15:26,300 s,lperez,,"111,112,113",,LED,Bias DCS: 12V. Ch_mask: 13. pulse1_width_ticks: 5. DAQ trigger rate 20Hz.,Total 402665 --> unique wvf 216627,,,,,,,,,,,,,,,,,,,,,,
26451,27/05/2024,15:33,300 s,lperez,,"111,112,113",,LED,Bias DCS: 10V. Ch_mask: 13. pulse1_width_ticks: 5. DAQ trigger rate 20Hz.,,,,,,,,,,,,,,,,,,,,,,,
26452,27/05/2024,15:40,300 s,lperez,,"111,112,113",,LED,Bias DCS: 8V. Ch_mask: 13. pulse1_width_ticks: 5. DAQ trigger rate 20Hz.,,,,,,,,,,,,,,,,,,,,,,,
26454,27/05/2024,,,lperez,,"104,105,107,109",,LED,Calib run. APAs12. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 100. Ch_mask: 50. pulse1_width_ticks: 10. Bias DCS: 30V. DAQ trigger rate 20Hz.,Something wrong in this run. Seems empty but lots of files generated,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Purity (tau slow) combo,,,,,,,,,,,,,,,,,,,,,,,
26486,28/05/2024,18:28,600 s,lperez,,"111,112,113",,LED,"Calibration Run with APAs 3,4. DAQ trigger rate 10Hz. LED -> DCS Bias: 10.5V. 600s runtime. Main (#969b603) firmware in all endpoints. ch_mask:13. pulse1_width_ticks:1 ",,,,,,,,,,,,,,,,,,,,,,,
